_id,industries
Uu45QankoL0Q1oj9WMPLyg_0000,"[{""name"":""government administration"",""is_primary"":true}]"
k4L9XsA7GCJK3DvTg1qhDQ_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
F3IEaBU4GL6CdeG-ZjzMIQ_0000,"[{""name"":""law practice"",""is_primary"":true}]"
1ukvucUWbOrWUByw5SlFQw_0000,"[{""name"":""legal services"",""is_primary"":true}]"
QKhuPnhaKzGo-9BXydQSIA_0000,"[{""name"":""design"",""is_primary"":true}]"
nF1iGF72aaHMfmYQ1xkr0w_0000,"[{""name"":""automotive"",""is_primary"":true}]"
zAMibAZJaLbJii3VTB-tlw_0000,"[{""name"":""building materials"",""is_primary"":true}]"
EiGSaMfF-fzx18Uznrcalg_0000,[]
oj08JQecT4KeXPl0Ol7pZg_0000,"[{""name"":""computer software"",""is_primary"":true}]"
f3GLAf6aTtVq59lvwbfXwA_0000,"[{""name"":""performing arts"",""is_primary"":true}]"
3OM23z0V5hOZcnKU8O9SXQ_0000,"[{""name"":""design"",""is_primary"":true}]"
6H4GLtjXeGTTVJjBXQKI8A_0000,"[{""name"":""wholesale"",""is_primary"":true}]"
z5WO0OAJYbrLxbtRGQznOA_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
AQjdeBxlo7m2Ner7vxiR2A_0000,[]
DHN4mLU16sBdhEPsILBn5A_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
fu2lj-kHDgzN6dUFzjcktw_0000,"[{""name"":""logistics and supply chain"",""is_primary"":true}]"
cauKG4kW8zGx8tzEB-sRSw_0000,"[{""name"":""health, wellness and fitness"",""is_primary"":true}]"
KKBaSSuCrIRnKKNIRhRpXQ_0000,"[{""name"":""real estate"",""is_primary"":true}]"
bFby5tqFMrTB-viBIbJOEA_0000,"[{""name"":""health, wellness and fitness"",""is_primary"":true}]"
gSAXWc9IREeI4dPq7xK8Wg_0000,"[{""name"":""luxury goods & jewelry"",""is_primary"":true}]"
bB11rPFGKaFWVoF-HYdfMw_0000,"[{""name"":""airlines/aviation"",""is_primary"":true}]"
A3iYKml917-vDVqzma48sA_0000,"[{""name"":""government relations"",""is_primary"":true}]"
iFTBkMayH7m2UC24jVgIzA_0000,"[{""name"":""information technology and services"",""is_primary"":true}]"
HpWulwYIPiKLSVwU4iyzLA_0000,"[{""name"":""financial services"",""is_primary"":true}]"
fiC3y27Vh9nNxIO5NFe7kw_0000,"[{""name"":""oil & energy"",""is_primary"":true}]"
8byBpsnEuv78mkbQ6IpvyA_0000,"[{""name"":""architecture & planning"",""is_primary"":true}]"
5JYfeEzYJbwUM0CpBB2tBQ_0000,[]
eUEPCN4iGDM376I13sP2ww_0000,[]
A8V2Y8zQOlkkqphYxRcIdQ_0000,"[{""name"":""education management"",""is_primary"":true}]"
0BB-ATFkFBSxeTXPKd3PUQ_0000,[]
JNu9n53PJ0l5enSAGXZA0w_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
WNBTfwEDlickplQNfItTWQ_0000,"[{""name"":""consumer goods"",""is_primary"":true}]"
EQiVRPUjLiGi2rPBh3rNhQ_0000,"[{""name"":""medical practice"",""is_primary"":true}]"
RfBZLbuD5ZiMjAj7WhRAJQ_0000,"[{""name"":""capital markets"",""is_primary"":true}]"
dfteXDz3H7FklhQogolOng_0000,"[{""name"":""venture capital & private equity"",""is_primary"":true}]"
53chALBZbZxsE03FeSyxdg_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
ajrJC8hCLPz609Aqv9Pvxw_0000,"[{""name"":""e-learning"",""is_primary"":true}]"
BxvRK3OannXqLht5BCBQBg_0000,"[{""name"":""real estate"",""is_primary"":true}]"
3GPTRDGKKXJqC2LIsnSOfw_0000,"[{""name"":""apparel & fashion"",""is_primary"":true}]"
MIsd5q5yJ9ESUgsUUvePNg_0000,"[{""name"":""performing arts"",""is_primary"":true}]"
ZxM0B0DWQ-c0rTdeYY-fig_0000,"[{""name"":""insurance"",""is_primary"":true}]"
jTZmaaE5ZdyOzcg7NQBNSA_0000,"[{""name"":""financial services"",""is_primary"":true}]"
hoLkHIp0ebDegr59bMQh5A_0000,"[{""name"":""internet"",""is_primary"":true}]"
s931DUD4T9RvkUC0epqk8g_0000,"[{""name"":""political organization"",""is_primary"":true}]"
9GvXD-6TlHBS-8REjpVSAA_0000,"[{""name"":""public relations and communications"",""is_primary"":true}]"
va2PWjvvy1gQNAijx9VnpQ_0000,"[{""name"":""civic & social organization"",""is_primary"":true}]"
PzTCR2snlQHCeu10MEkYYw_0000,"[{""name"":""education management"",""is_primary"":true}]"
D1DkN8ZqnjmqqsKQk0wUFQ_0000,"[{""name"":""non-profit organization management"",""is_primary"":true}]"
oJMAYHOmaO5BqRUss9JaxA_0000,[]
iX0RCHHEUuNtR1uyB3nV6w_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
jC5qYInm5G9QrDDrOixeog_0000,"[{""name"":""health, wellness and fitness"",""is_primary"":true}]"
eW1ZXwo1TDaQMco8iZb0rg_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
znB0fxh8Rd0OjstAqQjVfw_0000,"[{""name"":""furniture"",""is_primary"":true}]"
NHhBZO8PhQM1AQWp1vhAkA_0000,"[{""name"":""financial services"",""is_primary"":true}]"
Rut8BgK4BdDmbCnHBmZX-Q_0000,"[{""name"":""non-profit organization management"",""is_primary"":true}]"
nMN8e6gKEVHKdXkygRGPNA_0000,"[{""name"":""investment banking"",""is_primary"":true}]"
R509yBftCsRbmXclaTwwkQ_0000,"[{""name"":""chemicals"",""is_primary"":true}]"
vJub24PyeBdIvViTyNcrZQ_0000,"[{""name"":""law practice"",""is_primary"":true}]"
2J59Q-bnBI60aZmtwBNYMA_0000,"[{""name"":""financial services"",""is_primary"":true}]"
BtSKnXMBviHINp8UY1jSPA_0000,[]
7FuZoKlB7sEi4-RZchdmkw_0000,"[{""name"":""consumer goods"",""is_primary"":true}]"
K29VEKDMozy0TeJHrLLDJg_0000,"[{""name"":""telecommunications"",""is_primary"":true}]"
YOnyVsmYMGdggZIchNak7A_0000,"[{""name"":""apparel & fashion"",""is_primary"":true}]"
3P9uCqiakbJaXOOfPel8ow_0000,"[{""name"":""consumer goods"",""is_primary"":true}]"
6TmDnw64LZCCFU2EKmX51w_0000,"[{""name"":""online media"",""is_primary"":true}]"
r-A9THK7IOsfmi1W3RWtZw_0000,"[{""name"":""investment banking"",""is_primary"":true}]"
MT8VVMRT58LJbun9swRNYQ_0000,"[{""name"":""financial services"",""is_primary"":true}]"
gHI3ft-n2b4ZbsOPLRteeQ_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
Bl2RBXJt6sN-z4Ka5fcABw_0000,[]
GoJVo9cXoIqmAewnY7gmgA_0000,"[{""name"":""law practice"",""is_primary"":true}]"
nELaPOZ7QGGJipNBwFchEA_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
lFt1utCTMIfAdmBaKyQipA_0000,"[{""name"":""government administration"",""is_primary"":true}]"
nidI1zKijLg6u2ax2w2lTA_0000,[]
KfpNrqbOk5KQouduhzxQVQ_0000,[]
3nEzPawZjVFGZDAOJz8cwQ_0000,[]
HJfEVw6R5mVwsbpQfqdORg_0000,"[{""name"":""investment banking"",""is_primary"":true}]"
BZ6DqydmBlrhBJJ0AcgK-Q_0000,"[{""name"":""public relations and communications"",""is_primary"":true}]"
ptN60elwYZfthBZhKdHurA_0000,[]
IBjaebkSeSsUMBMuZr9cdg_0000,"[{""name"":""telecommunications"",""is_primary"":true}]"
BQ2-yLlQD-mD0GUkJ4LKWw_0000,"[{""name"":""telecommunications"",""is_primary"":true}]"
UAawkUzy6aEjM33VRTtHmw_0000,"[{""name"":""military"",""is_primary"":true}]"
prqKqLFzoQhEze4wiFLjgA_0000,"[{""name"":""commercial real estate"",""is_primary"":true}]"
2yRWKfAg43rRBunm9TELIg_0000,[]
aaaYldDE-8LB67JWOBuUNg_0000,"[{""name"":""law practice"",""is_primary"":true}]"
u6sW6AO5E89BypJ-1aKGBA_0000,"[{""name"":""investment management"",""is_primary"":true}]"
l9AO87DLZ65DMp26NfJGWg_0000,"[{""name"":""financial services"",""is_primary"":true}]"
BSSub0jlVi8N3KBdBG34SQ_0000,[]
FBTJpg-I5AFjnXBgHVebEQ_0000,[]
5G98DEmhEKiANHwOihD2IQ_0000,[]
ZLbRXDo86703G8EZK6O-Nw_0000,"[{""name"":""retail"",""is_primary"":true}]"
GYKkT6ec9zDWoqwhjc5g2g_0000,[]
NBuByJxAGpV6x8Y8RMAhyA_0000,[]
HyKFHcUQBRpTOldsIxUjyg_0000,"[{""name"":""financial services"",""is_primary"":true}]"
5mceeKBcyImp6-PhuP5GgQ_0000,"[{""name"":""apparel & fashion"",""is_primary"":true}]"
5fBnkPDaFDleb23rgoLI9Q_0000,[]
CoCMN2rw7DAbU4wyeXxrkw_0000,"[{""name"":""apparel & fashion"",""is_primary"":true}]"
3BBXNxlePlHbZJANiMzgNw_0000,"[{""name"":""financial services"",""is_primary"":true}]"
7E7fpHAq8IeJnS4hOoUdbw_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
FK66v-o6SJSTgE3Xh9FWIA_0000,"[{""name"":""arts and crafts"",""is_primary"":true}]"
1HVXwkH4aggd0uUQYOrQQg_0000,[]
EOVpoIgIZgONCuQ5cdk9vw_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
REwTTYmitsMW3fSzJg-NDw_0000,"[{""name"":""hospitality"",""is_primary"":true}]"
Nn-r-XguB956NorI0rJADg_0000,"[{""name"":""financial services"",""is_primary"":true}]"
LcXyiEPWR2U5bGVNMoMuVg_0000,"[{""name"":""law practice"",""is_primary"":true}]"
DrfR-3nYCnkCQsc4EInxmw_0000,"[{""name"":""publishing"",""is_primary"":true}]"
NPyqKxASbPAbte8rDSi7ZA_0000,[]
T0LGH5mmfbtV8-2Mb8NsMQ_0000,"[{""name"":""retail"",""is_primary"":true}]"
'-ZPSMHEixzJ61H-KAffT2g_0000,[]
r1U-0m7Y9X2QBGr-bHJkBA_0000,[]
MPDsyte9fpsLISmyqRowBA_0000,"[{""name"":""accounting"",""is_primary"":true}]"
GmfHZYURy2zxSoRwglOpMQ_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
KHaBVyE-aoKxtHkMTyaNNw_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
cdDSJaKzmnIr2QCpOswXPg_0000,[]
7JEdGS2yv0GNyCySUvpUwA_0000,"[{""name"":""individual & family services"",""is_primary"":true}]"
f7APkmTO94IFL4jDJ5mT-g_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
8g025g5G7FKXLXXeuhbu2w_0000,"[{""name"":""education management"",""is_primary"":true}]"
aR7znUO1vRH5Sf4sZ5kHcA_0000,"[{""name"":""higher education"",""is_primary"":true}]"
